,Name,wb97m-v-DFT-forward,wb97m-v-DFT-reverse,wb97m-v-DFT-reaction,cam-b3lyp-DFT-forward,cam-b3lyp-DFT-reverse,cam-b3lyp-DFT-reaction,wb97x-DFT-forward,wb97x-DFT-reverse,wb97x-DFT-reaction,b97m-v-DFT-forward,b97m-v-DFT-reverse,b97m-v-DFT-reaction,b2k-plyp-DFT-forward,b2k-plyp-DFT-reverse,b2k-plyp-DFT-reaction,rsx-0dh-DFT-forward,rsx-0dh-DFT-reverse,rsx-0dh-DFT-reaction,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction,pbe0-DFT-forward,pbe0-DFT-reverse,pbe0-DFT-reaction,wb2-plyp18-DFT-forward,wb2-plyp18-DFT-reverse,wb2-plyp18-DFT-reaction,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction,rsx-qidh-DFT-forward,rsx-qidh-DFT-reverse,rsx-qidh-DFT-reaction,m06l-DFT-forward,m06l-DFT-reverse,m06l-DFT-reaction,m062x-DFT-forward,m062x-DFT-reverse,m062x-DFT-reaction,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction,wb2-plyp-DFT-forward,wb2-plyp-DFT-reverse,wb2-plyp-DFT-reaction,pbe0-dh-DFT-forward,pbe0-dh-DFT-reverse,pbe0-dh-DFT-reaction,wb97x-v-DFT-forward,wb97x-v-DFT-reverse,wb97x-v-DFT-reaction,pbe-qidh-DFT-forward,pbe-qidh-DFT-reverse,pbe-qidh-DFT-reaction,m06-DFT-forward,m06-DFT-reverse,m06-DFT-reaction,b2-plyp-DFT-forward,b2-plyp-DFT-reverse,b2-plyp-DFT-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
10,rxn_853,22.815,32.356,-9.54,34.128,30.723,3.405,30.218,35.995,-5.776,24.417,26.234,-1.817,24.353,27.301,-2.948,20.895,41.497,-20.602,37.818,16.562,21.256,26.906,28.824,-1.918,20.385,29.791,-9.406,36.819,23.553,13.266,18.005,36.981,-18.976,29.05,23.416,5.634,24.245,27.945,-3.7,37.884,33.333,4.551,23.146,33.762,-10.616,24.23,32.135,-7.905,23.431,36.114,-12.683,20.364,31.626,-11.262,26.659,27.105,-0.446,28.182,24.629,3.553,19.879,5.969150345074688,24.935,5.72442232341763,41.858000000000004,10.200501734305961
11,rxn_1000,31.189,36.788,-5.599,44.777,34.632,10.145,40.385,39.888,0.498,31.844,31.076,0.768,34.322,32.22,2.102,31.937,46.029,-14.092,48.627,19.783,28.844,37.972,32.566,5.406,29.208,34.494,-5.286,47.749,27.221,20.528,28.468,41.84,-13.372,36.585,28.351,8.234,33.701,33.38,0.321,48.954,37.575,11.379,32.576,38.522,-5.945,35.147,36.376,-1.229,32.051,40.292,-8.241,30.877,36.354,-5.476,34.245,31.494,2.751,38.247,29.066,9.18,20.486,6.45700309720914,26.246000000000002,5.87083410441642,42.936,10.68135282975355
12,rxn_1011,30.954,35.089,-4.135,47.16,33.152,14.008,41.663,38.469,3.194,31.238,29.882,1.356,34.616,30.046,4.57,31.556,44.59,-13.034,52.242,18.785,33.457,39.554,31.645,7.909,28.358,32.629,-4.272,50.886,25.988,24.898,27.476,40.071,-12.595,35.152,27.248,7.904,32.716,31.544,1.173,51.758,35.939,15.819,32.332,36.57,-4.238,35.884,35.031,0.854,32.485,38.757,-6.272,30.659,34.581,-3.922,34.513,30.989,3.525,39.443,27.18,12.263,24.766,7.821784234969732,25.805000000000003,5.732582975046195,46.491,11.709550568479964
13,rxn_1017,25.536,35.535,-9.999,40.429,33.598,6.831,35.432,38.746,-3.314,25.77,29.523,-3.753,28.932,30.783,-1.851,26.183,44.667,-18.484,45.447,19.028,26.419,33.526,31.551,1.975,23.391,32.881,-9.49,44.009,26.333,17.675,22.439,40.331,-17.892,30.359,26.469,3.89,27.827,31.519,-3.692,44.618,36.561,8.056,26.845,37.008,-10.163,30.113,35.191,-5.078,26.516,39.198,-12.682,25.305,34.964,-9.659,28.989,30.222,-1.233,33.451,27.816,5.635,23.008000000000003,7.196549935650818,25.639000000000003,5.819739491366296,44.903000000000006,11.200659630363882
14,rxn_1093,22.387,35.024,-12.637,37.263,32.493,4.771,32.128,37.877,-5.748,22.108,28.457,-6.349,25.624,29.75,-4.126,22.056,44.654,-22.598,42.755,17.418,25.337,29.84,30.809,-0.969,19.826,32.434,-12.608,40.891,24.854,16.038,18.458,40.168,-21.71,25.878,24.944,0.934,23.769,31.072,-7.303,41.127,35.198,5.929,23.345,36.511,-13.165,26.319,34.553,-8.234,23.705,38.757,-15.053,21.556,34.378,-12.822,26.108,30.173,-4.065,30.318,26.587,3.731,24.297000000000004,7.40657967425266,27.236000000000004,6.170876372760578,47.935,11.820982835062495
15,rxn_1248,23.168,33.298,-10.13,37.354,31.226,6.128,32.55,36.657,-4.106,24.358,27.327,-2.969,26.11,28.257,-2.147,22.651,42.761,-20.111,42.409,16.628,25.782,30.072,29.56,0.512,20.842,30.634,-9.793,40.853,23.921,16.931,19.171,38.261,-19.089,29.173,24.801,4.372,25.21,29.59,-4.38,41.369,34.071,7.299,24.114,34.703,-10.589,26.73,33.129,-6.4,24.137,36.943,-12.807,22.109,32.777,-10.669,26.878,28.283,-1.405,30.642,25.337,5.305,23.238,7.036991238037072,26.133000000000003,5.867473289244697,45.893,11.29269731006911
16,rxn_1424,22.112,34.907,-12.795,35.764,32.533,3.231,31.004,37.849,-6.844,21.603,28.199,-6.596,24.937,29.814,-4.877,20.522,44.525,-24.004,41.059,17.482,23.578,28.129,30.757,-2.628,19.209,32.34,-13.13,39.244,24.924,14.319,17.402,40.079,-22.678,25.103,24.651,0.452,23.027,30.902,-7.875,39.56,35.236,4.324,22.545,36.448,-13.903,24.891,34.507,-9.616,23.338,38.661,-15.323,20.548,34.357,-13.809,25.175,30.001,-4.826,29.371,26.656,2.716,23.656999999999996,7.099595898618753,27.043,6.155393154316832,47.582,11.547901097055188
17,rxn_1441,27.099,37.576,-10.477,39.629,35.406,4.223,35.609,40.488,-4.879,26.217,31.061,-4.845,29.54,32.895,-3.355,27.322,47.092,-19.77,43.015,20.276,22.739,32.667,33.288,-0.621,24.416,35.104,-10.689,42.184,27.812,14.373,23.946,42.763,-18.817,30.223,27.808,2.416,28.933,33.808,-4.875,43.502,38.358,5.144,27.91,39.314,-11.404,30.123,37.185,-7.061,27.96,41.265,-13.304,26.15,37.156,-11.006,29.742,32.125,-2.383,33.226,29.685,3.541,19.556,6.160786862551688,26.816,6.082592624816631,42.509,10.435937405250943
18,rxn_1463,9.858,57.557,-47.699,23.116,55.29,-32.175,18.42,60.431,-42.011,7.927,54.075,-46.147,11.25,51.855,-40.605,10.34,65.371,-55.031,24.288,44.701,-20.414,15.759,55.433,-39.674,6.017,54.113,-48.096,25.615,49.724,-24.109,6.065,61.131,-55.066,12.361,50.921,-38.56,11.543,52.064,-40.52,29.273,57.205,-27.932,9.91,57.464,-47.554,13.111,57.795,-44.684,10.667,61.769,-51.102,8.161,56.738,-48.576,14.511,53.134,-38.622,14.913,50.205,-35.292,23.256,6.702288618351511,20.669999999999995,4.832869024764308,34.652,9.560792559499943
19,rxn_1466,6.877,56.663,-49.786,19.699,54.266,-34.566,14.857,59.535,-44.678,4.572,54.052,-49.48,7.97,50.896,-42.926,6.837,64.927,-58.09,20.178,44.161,-23.983,11.784,55.237,-43.453,3.027,53.496,-50.469,21.771,48.852,-27.081,2.686,60.655,-57.969,7.854,51.228,-43.374,8.16,51.594,-43.434,25.703,55.594,-29.89,6.918,56.588,-49.67,9.334,57.383,-48.049,7.725,60.93,-53.205,4.612,56.253,-51.641,10.402,53.386,-42.984,11.462,49.389,-37.927,23.017,6.536338910880826,20.766000000000005,4.777876029708511,34.107,9.475421017586834
