;Type;prediction 4923
180;Diels-Alder;7.233029150435639
181;Diels-Alder;7.420712058797496
182;Diels-Alder;6.65209073501217
183;Diels-Alder;6.68109386797199
184;Diels-Alder;6.7647230180807405
185;Diels-Alder;8.000394857787194
186;Diels-Alder;6.780451606154443
187;Diels-Alder;6.801060599250596
188;Diels-Alder;7.404210701289214
189;Diels-Alder;6.87849121199458
190;Diels-Alder;7.402704989180551
191;Diels-Alder;6.672163857944234
192;Diels-Alder;7.96835810532392
193;Diels-Alder;7.102977286800276
194;Diels-Alder;6.869769096000552
195;Diels-Alder;6.959748627421192
196;Diels-Alder;6.913671487554101
197;Diels-Alder;7.64951411726768
198;Diels-Alder;6.81574925449635
199;Diels-Alder;6.6121359443756225
200;Diels-Alder;6.981234603924546
201;Diels-Alder;6.752150394993188
202;Diels-Alder;6.681282189724023
203;Diels-Alder;6.635349210304571
204;Diels-Alder;6.85347528206103
205;Diels-Alder;6.8001158769255685
206;Diels-Alder;6.814724997573356
207;Diels-Alder;6.919576408110942
208;Diels-Alder;6.945834900507086
209;Diels-Alder;6.712673996864309
210;Diels-Alder;7.712735171886065
211;Diels-Alder;6.8503364300364655
212;Diels-Alder;6.947476265209857
213;Diels-Alder;6.6757567032240495
214;Diels-Alder;6.918757814516346
215;Diels-Alder;8.014123808591492
217;Diels-Alder;8.372743305946617
218;Diels-Alder;6.8327669144592855
219;Diels-Alder;6.671243109363194
220;Diels-Alder;6.542761457056069
221;Diels-Alder;6.758187378454759
222;Diels-Alder;7.415976860697038
223;Diels-Alder;6.6945715704444755
224;Diels-Alder;6.895603811739212
225;Diels-Alder;7.460482364695908
226;Diels-Alder;7.533041980436009
227;Diels-Alder;6.677922230821049
228;Diels-Alder;6.9195804488336705
229;Diels-Alder;8.310823454388194
230;Diels-Alder;6.708219166534149
231;Diels-Alder;6.722157679093263
232;Diels-Alder;6.728032936429606
233;Diels-Alder;6.690169468911535
234;Diels-Alder;6.550551492202634
235;Diels-Alder;6.735918680731063
236;Diels-Alder;6.715630684768565
237;Diels-Alder;7.448063997780449
238;Diels-Alder;7.650522747661155
239;Diels-Alder;7.009336074494042
240;Diels-Alder;7.203274334164665
241;Diels-Alder;6.709396860174118
242;Diels-Alder;8.302767670201279
